FILENAME:	36b03015.txt
TITLE:	CanariCam Q-Wide CdTe Sample 36B @ 30K, 3°I, T% (CDCR 05096/05102, SMCR 02266)
FORMAL_COMMENT:	CanariCam Q-Wide Filter
CREATION_DATE:	03-Jul-2003
RUN_DATE:	02-Jul-2003
AUTHOR:	Richard Sherwood
CHANNEL:	Q-WIDE
CHANNEL_VERSION:	n/a
MODEL:	Window
TEMPERATURE:	30K
ANGLE:	3°
FNUMBER:	f/8
DATA:
2.585	0.04541
2.586	0.01439
2.587	-0.01483
2.588	-0.02507
2.589	-0.00739
2.590	0.02235
2.591	0.03838
2.592	0.04123
2.593	0.03943
2.594	0.02044
2.595	-0.00218
2.596	0.00344
2.597	0.02209
2.598	0.02501
2.599	0.01415
2.600	0.00368
2.601	0.00013
2.602	-0.00328
2.603	-0.02067
2.604	-0.04654
2.605	-0.04912
2.606	-0.01978
2.607	0.00710
2.608	0.01259
2.609	0.01348
2.610	0.02103
2.611	0.03404
2.612	0.04489
2.613	0.04018
2.614	0.02006
2.615	0.00347
2.616	0.00284
2.617	0.00594
2.618	-0.00125
2.619	-0.01121
2.620	-0.01439
2.621	-0.01357
2.622	-0.01271
2.623	-0.01287
2.624	-0.01545
2.625	-0.02153
2.626	-0.02975
2.627	-0.03531
2.628	-0.03886
2.629	-0.06751
2.630	-0.12098
2.631	-0.12744
2.632	-0.06263
2.633	0.00865
2.634	0.03937
2.635	0.03561
2.636	0.02495
2.637	0.02098
2.638	0.01823
2.639	0.01552
2.640	0.02082
2.641	0.03404
2.642	0.04197
2.643	0.03760
2.644	0.03053
2.645	0.03002
2.646	0.03259
2.647	0.03341
2.648	0.03176
2.649	0.02467
2.650	0.01248
2.651	0.00568
2.652	0.01454
2.653	0.03175
2.654	0.04003
2.655	0.03655
2.656	0.02978
2.657	0.02270
2.658	0.01563
2.659	0.01403
2.660	0.02173
2.661	0.03302
2.662	0.03915
2.663	0.03999
2.664	0.04622
2.665	0.06171
2.666	0.07262
2.667	0.07075
2.668	0.06884
2.669	0.07522
2.670	0.07790
2.671	0.06675
2.672	0.04904
2.673	0.03377
2.674	0.02104
2.675	0.01607
2.676	0.02210
2.677	0.02451
2.678	0.01465
2.679	0.00438
2.680	0.00040
2.681	0.00233
2.682	0.01514
2.683	0.03523
2.684	0.04284
2.685	0.03213
2.686	0.02007
2.687	0.01582
2.688	0.01219
2.689	0.00768
2.690	0.00930
2.691	0.01789
2.692	0.02728
2.693	0.03365
2.694	0.03273
2.695	0.02053
2.696	0.00096
2.697	-0.01580
2.698	-0.02414
2.699	-0.02323
2.700	-0.01315
2.701	0.00172
2.702	0.01060
2.703	0.00738
2.704	-0.00304
2.705	-0.01122
2.706	-0.01213
2.707	-0.00609
2.708	0.00108
2.709	0.00234
2.710	-0.00075
2.711	0.00066
2.712	0.00880
2.713	0.01860
2.714	0.02611
2.715	0.02894
2.716	0.02645
2.717	0.01985
2.718	0.01388
2.719	0.01599
2.720	0.02578
2.721	0.03151
2.722	0.02383
2.723	0.00388
2.724	-0.01634
2.725	-0.02300
2.726	-0.01572
2.727	-0.00621
2.728	-0.00115
2.729	0.00276
2.730	0.00978
2.731	0.01836
2.732	0.02343
2.733	0.01922
2.734	0.00604
2.735	-0.00773
2.736	-0.01436
2.737	-0.01310
2.738	-0.01031
2.739	-0.01892
2.740	-0.04090
2.741	-0.05757
2.742	-0.05146
2.743	-0.02815
2.744	-0.00627
2.745	0.00399
2.746	0.00656
2.747	0.00944
2.748	0.01449
2.749	0.01651
2.750	0.01239
2.751	0.00702
2.752	0.00610
2.753	0.00941
2.754	0.01724
2.755	0.03281
2.756	0.04901
2.757	0.05048
2.758	0.03928
2.759	0.02941
2.760	0.02739
2.761	0.03080
2.762	0.02964
2.763	0.01516
2.764	-0.00337
2.765	-0.01313
2.766	-0.01540
2.767	-0.01711
2.768	-0.01840
2.769	-0.01583
2.770	-0.00828
2.771	0.00389
2.772	0.01883
2.773	0.03231
2.774	0.04105
2.775	0.04556
2.776	0.04760
2.777	0.04837
2.778	0.04914
2.779	0.04879
2.780	0.04229
2.781	0.02718
2.782	0.00966
2.783	-0.00183
2.784	-0.00724
2.785	-0.01308
2.786	-0.02010
2.787	-0.02010
2.788	-0.00834
2.789	0.00635
2.790	0.01020
2.791	-0.00086
2.792	-0.02083
2.793	-0.03829
2.794	-0.04253
