FILENAME:	2bg015_6.txt
TITLE:	AFC Filter 02 ZnS Test Piece Sample 2BG @ 15K, 2.6°i, In f/8 (CDCR 04739/04744, SMCR 01880)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 02 (SiC) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	26-Jun-2001
AUTHOR:	Richard Sherwood
CHANNEL:	02
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.426	0.06600
2.427	0.09885
2.428	-0.06530
2.429	0.04115
2.430	-0.00894
2.431	-0.04835
2.432	0.01837
2.433	-0.07899
2.434	-0.14522
2.435	0.02169
2.436	0.07090
2.437	0.16294
2.438	0.08844
2.439	0.10638
2.440	0.04417
2.441	0.05953
2.442	0.06552
2.443	0.02299
2.444	0.11430
2.445	0.05580
2.446	-0.02697
2.447	-0.10117
2.448	-0.07202
2.449	-0.06447
2.450	-0.11992
2.451	0.05087
2.452	0.25014
2.453	0.14528
2.454	0.03015
2.455	0.01715
2.456	0.00445
2.457	-0.12683
2.458	-0.04019
2.459	0.01524
2.460	0.03409
2.461	0.06853
2.462	0.04608
2.463	0.13651
2.464	0.22988
2.465	0.00284
2.466	-0.05294
2.467	0.02951
2.468	0.10597
2.469	0.21035
2.470	0.08746
2.471	0.05744
2.472	0.01209
2.473	-0.01615
2.474	-0.06339
2.475	0.11261
2.476	0.18269
2.477	0.08354
2.478	-0.03643
2.479	0.04653
2.480	0.02563
2.481	0.01252
2.482	0.09400
2.483	0.17162
2.484	0.05145
2.485	-0.06672
2.486	0.00622
2.487	0.08348
2.488	-0.08482
2.489	-0.05863
2.490	0.14123
2.491	0.10681
2.492	0.04350
2.493	-0.07887
2.494	-0.12784
2.495	0.06743
2.496	0.03234
2.497	0.01019
2.498	0.01442
2.499	-0.04760
2.500	-0.07513
2.501	-0.12685
2.502	-0.08753
2.503	0.02365
2.504	0.12394
2.505	0.00530
2.506	-0.12361
2.507	-0.17082
2.508	-0.03126
2.509	0.00073
2.510	0.09029
2.511	0.15224
2.512	0.16341
2.513	0.06981
2.514	-0.13103
2.515	-0.07242
2.516	0.04129
2.517	-0.00339
2.518	0.05032
2.519	0.00422
2.520	0.02255
2.521	-0.08716
2.522	0.01934
2.523	0.15344
2.524	0.14881
2.525	0.08335
2.526	0.03501
2.527	0.10217
2.528	0.08503
2.529	0.10754
2.530	0.23681
2.531	0.29125
2.532	-0.00551
2.533	-0.04123
2.534	-0.00327
2.535	0.00246
2.536	-0.01577
2.537	-0.10256
2.538	0.01006
2.539	0.18457
2.540	0.18116
2.541	0.03382
2.542	-0.08031
2.543	-0.09429
2.544	0.01724
2.545	0.14659
2.546	-0.04128
2.547	-0.28580
2.548	-0.10612
2.549	-0.15246
2.550	-0.09972
2.551	0.00073
2.552	0.01262
2.553	-0.05935
2.554	-0.06757
2.555	-0.00028
2.556	0.02445
2.557	0.02701
2.558	-0.03035
2.559	-0.00712
2.560	0.00075
2.561	0.20590
2.562	0.51102
2.563	0.32646
2.564	0.24860
2.565	0.04921
2.566	-0.30748
2.567	-0.02255
2.568	-0.09341
2.569	-0.00505
2.570	0.03057
2.571	0.00095
2.572	-0.03106
2.573	-0.04879
2.574	0.09309
2.575	0.10412
2.576	0.06228
2.577	0.06887
2.578	0.09519
2.579	0.03423
2.580	0.20944
2.581	0.61369
2.582	0.19762
2.583	0.00248
2.584	0.69063
2.585	0.16747
2.586	0.07657
2.587	-0.01927
