FILENAME:	2jb01518.txt
TITLE:	AFC Filter 08 ZnS Test Piece Sample 2JB @ 15K, 2.6°i, In f/8 (CDCR 04856/04858, SMCR 01996)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 08 (SIV) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	19-Dec-2001
AUTHOR:	Richard Sherwood
CHANNEL:	08
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.500	0.11451
2.501	0.01960
2.502	0.02773
2.503	0.06618
2.504	0.02630
2.505	0.02567
2.506	-0.01169
2.507	0.05855
2.508	0.12510
2.509	0.12347
2.510	-0.04435
2.511	-0.16536
2.512	0.01045
2.513	0.00705
2.514	-0.02198
2.515	0.05562
2.516	0.06155
2.517	0.00605
2.518	0.05400
2.519	-0.00199
2.520	-0.02159
2.521	-0.03042
2.522	0.00437
2.523	0.02242
2.524	0.01056
2.525	0.02106
2.526	0.09675
2.527	0.04612
2.528	0.00606
2.529	0.02896
2.530	-0.17045
2.531	-0.10322
2.532	0.15487
2.533	0.13670
2.534	-0.00182
2.535	-0.03918
2.536	-0.07986
2.537	-0.07308
2.538	0.02303
2.539	0.01132
2.540	0.06495
2.541	0.00521
2.542	-0.10842
2.543	-0.08883
2.544	0.02599
2.545	0.06115
2.546	-0.02062
2.547	0.00841
2.548	0.17052
2.549	0.09471
2.550	0.05822
2.551	0.01422
2.552	-0.01693
2.553	-0.08714
2.554	-0.00871
2.555	0.00774
2.556	-0.04486
2.557	-0.03497
2.558	-0.03832
2.559	-0.05789
2.560	-0.05663
2.561	0.23932
2.562	0.05966
2.563	0.02222
2.564	0.07141
2.565	0.10241
2.566	0.04555
2.567	0.05177
2.568	0.00972
2.569	-0.03325
2.570	-0.11172
2.571	-0.01289
2.572	0.03400
2.573	-0.08705
2.574	-0.11451
2.575	0.01046
2.576	0.05739
2.577	0.16749
2.578	0.08181
2.579	0.03725
2.580	0.04048
2.581	-0.02783
2.582	0.03747
2.583	0.05828
2.584	-0.01231
2.585	-0.06798
2.586	-0.04766
2.587	-0.08776
2.588	0.01268
2.589	0.09922
2.590	0.07680
2.591	0.06944
2.592	0.03461
2.593	-0.03304
2.594	0.02349
2.595	0.34866
2.596	0.19537
2.597	0.01722
2.598	0.00872
2.599	0.03255
2.600	0.03174
2.601	-0.00943
2.602	-0.07216
2.603	-0.01546
2.604	-0.10826
2.605	-0.01319
2.606	0.02854
2.607	-0.07639
2.608	-0.10527
2.609	-0.00651
2.610	-0.01111
2.611	-0.02614
2.612	-0.03894
2.613	-0.04509
2.614	-0.01621
2.615	-0.03719
2.616	-0.06040
2.617	0.06231
2.618	0.04308
2.619	-0.00952
2.620	-0.08609
2.621	-0.01975
2.622	-0.00718
2.623	-0.00858
2.624	-0.00077
2.625	-0.01764
2.626	0.02202
2.627	-0.01415
2.628	-0.05794
2.629	-0.04820
2.630	-0.25654
2.631	-0.33557
2.632	-0.16851
2.633	0.02750
2.634	0.21361
2.635	0.14193
2.636	0.07566
2.637	0.05691
2.638	0.08961
2.639	0.08872
2.640	0.04305
2.641	0.04623
2.642	0.10563
2.643	0.10750
2.644	0.08183
2.645	0.12030
2.646	0.15198
2.647	0.07715
2.648	0.06178
2.649	0.03905
2.650	0.04004
2.651	0.00264
2.652	-0.05816
2.653	0.05591
2.654	0.09173
2.655	0.06611
2.656	0.06105
2.657	0.03863
2.658	0.01408
2.659	-0.02301
2.660	0.04410
2.661	0.06264
2.662	0.05716
2.663	0.06973
2.664	0.12174
2.665	0.14782
2.666	0.10406
2.667	0.37995
2.668	0.34671
2.669	0.25572
2.670	0.24161
2.671	0.05025
2.672	0.08865
2.673	0.07537
2.674	0.01073
2.675	-0.00149
2.676	0.13085
2.677	0.41774
2.678	0.22988
2.679	-0.01497
2.680	-0.06606
2.681	0.00660
2.682	0.02810
2.683	0.06412
2.684	0.12250
2.685	0.04965
2.686	0.02189
2.687	0.04509
2.688	-0.00660
2.689	0.00295
2.690	0.04883
2.691	0.05303
2.692	0.06676
2.693	0.13080
2.694	0.10328
2.695	0.00945
2.696	-0.00330
2.697	0.02707
2.698	0.01164
2.699	0.00115
2.700	0.00977
2.701	0.03313
2.702	0.05654
2.703	0.01586
2.704	0.00984
2.705	0.01738
2.706	0.02334
2.707	-0.02547
2.708	-0.08110
2.709	-0.02900
2.710	0.11142
2.711	0.17456
2.712	0.13435
2.713	0.02078
2.714	0.01734
2.715	0.04968
2.716	0.00821
2.717	-0.01944
2.718	0.00851
2.719	0.00075
2.720	-0.01170
2.721	-0.00636
2.722	-0.00524
2.723	0.01366
2.724	0.03457
2.725	0.01337
2.726	-0.06777
2.727	-0.04119
2.728	-0.03217
2.729	0.00765
2.730	0.01266
2.731	-0.01071
2.732	-0.00982
2.733	-0.02580
2.734	-0.00821
2.735	0.11877
2.736	0.09968
2.737	-0.01287
2.738	-0.08451
2.739	-0.03595
2.740	0.17270
2.741	0.09078
2.742	0.05231
2.743	0.09213
2.744	0.06163
2.745	0.05367
2.746	0.01412
2.747	-0.04524
2.748	-0.04712
2.749	-0.00604
2.750	0.02657
2.751	0.04687
2.752	-0.00041
2.753	-0.00866
2.754	0.08154
2.755	0.05729
2.756	-0.01150
2.757	0.04709
2.758	0.00775
2.759	0.00830
2.760	0.01475
2.761	0.00201
2.762	0.04482
2.763	0.06519
2.764	0.00646
2.765	-0.03263
2.766	0.01330
2.767	-0.04549
2.768	-0.11082
2.769	0.02387
2.770	0.04051
2.771	-0.00649
2.772	0.01279
2.773	-0.00676
2.774	-0.02652
2.775	0.01791
2.776	0.03878
2.777	0.00883
