The University of Reading, Infrared Multilayer Laboratory
http://www.cyber.rdg.ac.uk/irfilters/
---------------------------------------------------------
FILENAME:	2ng015_8.txt
TITLE: 	AFC Filter 22 CdTe S29 Sample 2F8 @ 15K, 2.6°I, In f/8 (CDCR 04928/04959, SMCR 02117)
CREATION_DATE:	13-Aug-2003
AUTHOR:	Richard Sherwood
TEMPERATURE:	15K
ANGLE:	0°
DATA:
2.429	-0.00399
2.430	-0.01202
2.431	0.00819
2.432	-0.00199
2.433	-0.00421
2.434	0.01884
2.435	0.04157
2.436	0.01529
2.437	0.01900
2.438	0.00865
2.439	0.00340
2.440	-0.01132
2.441	-0.01748
2.442	-0.00842
2.443	-0.00464
2.444	0.00575
2.445	0.02578
2.446	-0.00818
2.447	0.00176
2.448	0.00613
2.449	0.00293
2.450	-0.00073
2.451	-0.00739
2.452	0.00190
2.453	0.01343
2.454	0.01125
2.455	0.01546
2.456	0.01131
2.457	0.00407
2.458	0.00257
2.459	-0.00297
2.460	-0.01214
2.461	-0.02301
2.462	-0.01614
2.463	-0.00235
2.464	-0.02585
2.465	-0.01458
2.466	0.00659
2.467	0.00382
2.468	-0.01027
2.469	-0.01163
2.470	-0.00514
2.471	-0.02025
2.472	-0.03126
2.473	-0.01360
2.474	-0.00628
2.475	-0.00514
2.476	0.00120
2.477	-0.00130
2.478	0.01350
2.479	-0.00950
2.480	-0.01788
2.481	0.00778
2.482	-0.00222
2.483	-0.00340
2.484	0.01921
2.485	0.04198
2.486	0.03093
2.487	0.01122
2.488	-0.00163
2.489	0.01414
2.490	0.01936
2.491	0.01762
2.492	0.00055
2.493	-0.00269
2.494	-0.00231
2.495	0.01737
2.496	0.01025
2.497	0.00679
2.498	0.00991
2.499	-0.00503
2.500	0.02434
2.501	-0.01176
2.502	-0.01713
2.503	0.02513
2.504	0.02683
2.505	0.01268
2.506	0.00523
2.507	-0.00476
2.508	0.00883
2.509	0.01832
2.510	0.00039
2.511	0.01319
2.512	0.02983
2.513	0.01565
2.514	0.01620
2.515	0.01783
2.516	0.01476
2.517	-0.00994
2.518	0.00804
2.519	0.01325
2.520	0.01705
2.521	0.01880
2.522	0.00862
2.523	0.00290
2.524	0.01084
2.525	0.02462
2.526	0.01349
2.527	-0.01269
2.528	-0.00235
2.529	0.00731
2.530	0.11507
2.531	0.11571
2.532	0.02837
2.533	0.04260
2.534	0.04340
2.535	0.01576
2.536	0.02084
2.537	0.00770
2.538	0.00630
2.539	0.03184
2.540	0.01189
2.541	-0.01876
2.542	-0.01904
2.543	0.00737
2.544	-0.00187
2.545	0.00429
2.546	0.00348
2.547	-0.00593
2.548	-0.03037
2.549	-0.03939
2.550	-0.02827
2.551	-0.02839
2.552	-0.03240
2.553	-0.03037
2.554	-0.01147
2.555	-0.00959
2.556	0.00848
2.557	0.00511
2.558	-0.01129
2.559	-0.03112
2.560	0.01880
2.561	0.09132
2.562	0.05154
2.563	0.00594
2.564	-0.00376
2.565	0.03341
2.566	0.01754
2.567	0.03684
2.568	0.03574
2.569	-0.02917
2.570	-0.04436
2.571	-0.00309
2.572	-0.02205
2.573	-0.00128
2.574	0.03072
2.575	0.00109
2.576	0.00353
2.577	0.02255
2.578	0.01294
2.579	-0.00038
2.580	-0.00438
2.581	0.00284
2.582	0.02144
2.583	0.01509
2.584	0.04584
2.585	0.00289
2.586	-0.02174
2.587	0.00878
2.588	0.00601
2.589	-0.03085
2.590	0.00585
2.591	0.01186
2.592	0.00119
2.593	-0.01319
