FILENAME:	2jh015_6.txt
TITLE:	AFC Filter 05 ZnS Test Piece Sample 2JH @ 15K, 2.6°i, In f/8 (CDCR 04865/04871, SMCR 02016)
FORMAL_COMMENT:	Astronomical Filter Consortium Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	31-Jan-2002
AUTHOR:	Richard Sherwood
CHANNEL:	05
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.699	0.00350
2.700	-0.01434
2.701	0.01423
2.702	-0.04218
2.703	-0.05854
2.704	-0.03018
2.705	-0.00422
2.706	0.03211
2.707	0.03933
2.708	0.06069
2.709	0.08721
2.710	0.12769
2.711	0.15559
2.712	0.05819
2.713	0.02827
2.714	0.03189
2.715	-0.01491
2.716	-0.00270
2.717	0.02926
2.718	0.00784
2.719	-0.07289
2.720	-0.11447
2.721	0.13780
2.722	0.02557
2.723	-0.01494
2.724	-0.04447
2.725	0.12956
2.726	0.13231
2.727	0.03458
2.728	0.02759
2.729	0.05399
2.730	0.03572
2.731	-0.00463
2.732	0.00066
2.733	-0.03257
2.734	0.00187
2.735	0.08943
2.736	0.12400
2.737	0.09290
2.738	0.04359
2.739	0.16748
2.740	0.30419
2.741	-0.18496
2.742	-0.38855
2.743	-0.05162
2.744	0.07099
2.745	0.03566
2.746	0.00798
2.747	0.01789
2.748	-0.06119
2.749	-0.09410
2.750	-0.00529
2.751	0.03944
2.752	-0.01167
2.753	-0.04784
2.754	-0.00037
2.755	0.04583
2.756	-0.04894
2.757	-0.02967
2.758	0.02310
2.759	0.03706
2.760	-0.04154
2.761	-0.07291
2.762	-0.00519
2.763	0.02979
2.764	0.04679
2.765	-0.01361
2.766	-0.05665
2.767	0.01022
2.768	0.08657
2.769	0.01731
2.770	-0.04110
2.771	-0.07251
2.772	0.00078
2.773	0.03580
2.774	0.00713
2.775	0.01983
2.776	0.04366
2.777	0.06145
2.778	0.06709
2.779	0.03766
2.780	0.03793
2.781	0.02831
2.782	-0.05357
2.783	-0.09094
2.784	0.00900
